Book_Name,Author,Rating,Number_of_Reviews,Price,Description,Listening_Time,Audible_Rank,Main_Genre,Genre_List
Your Wish Is My Command: Love in Times of Tinder,Shanaya Taneja,4.0,2.0,0.0,"Go on an exciting hiking journey in the hills with a very passionate couple who lose themselves, not on the way to the hills, but on the way to fulfil their hidden deep desires. Their intense love erases all boundaries of exploration, even if it’s in an isolated cave on a hill.",0 days 00:24:00,100.0,Contemporary Romance,['Contemporary Romance']
Yupi 65 (UP 65) (Hindi Edition),Nikhil Sachan,4.4,261.0,668.0,"UP 65 is Nikhil Sachan's third book after remarkable success of Namak Swadanusar and Zindagi Aais Pais. As Nikhil says, the book is a giveback to Banaras and BHU for all that these two places have given him. ",0 days 05:55:00,673.0,Contemporary Romance,"['Contemporary Romance', 'Literary Fiction', 'Romance']"
Yuval Noah Harari: Audible Sessions: FREE Exclusive Interview,Robin Morgan,4.7,18.0,0.0,"Professor Yuval Noah Harari is a lecturer at the Department of History at the Hebrew University of Jerusalem. Gaining his PhD from Oxford University, he has published several books and articles. His most recent works comprise the international bestseller Sapiens: A Brief History of Humankind and, most recently Homo Deus: A Brief History of Tomorrow. ",0 days 00:19:00,100.0,Biographies of Authors,['Biographies of Authors']
"Zak George's Guide to a Well-Behaved Dog: Proven Solutions to the Most Common Training Problems for All Ages, Breeds, and Mixes",Zak George,4.7,487.0,879.0,"A compassionate, modern, science-based approach to help you (and your dog!) with common training problems ",0 days 06:46:00,3616.0,Dogs & Dog Care,"['Dogs & Dog Care', 'Pets & Animal Care']"
Zak George’s Dog Training Revolution: The Complete Guide to Raising the Perfect Pet with Love,Zak George,4.6,2359.0,820.0,"Celebrity dog trainer, YouTube sensation, and Animal Planet star Zak George presents a next-generation guide that uses his infectiously energetic style to teach dog-lovers everything they need to know about raising and training their unique pup. ",0 days 06:44:00,826.0,Dogs & Dog Care,"['Dogs & Dog Care', 'Pets & Animal Care']"
"Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice",Shunryu Suzuki,4.6,865.0,515.0,"In the beginner's mind there are many possibilities, but in the expert's there are few. So begins this most beloved of all American Zen works. Seldom has such a small handful of words provided a teaching as rich as this famous opening line of Shunryu Suzuki's classic. In a single stroke, the simple sentence cuts through the pervasive tendency students have of getting so close to Zen as to completely miss what it's all about. An instant teaching in the first minutes. And that's just the beginning. ",0 days 02:58:00,2411.0,Zen Buddhism,"['Zen Buddhism', 'Buddhist Philosophy & Practice', 'Philosophy']"
Zen and the Art of Happiness,Chris Prentiss,4.5,649.0,233.0,"Zen and the Art of Happiness is a popular book by Chris Prentiss that has been translated and published in more than 20 countries around the world. According to Chris Prentiss, by training oneself to think and feel in a certain manner, changes can happen in the body, which can go a long way in improving the overall well-being of the person. In this audiobook, he gives valuable insights on how to create a vibrant life for oneself. You will learn: ",0 days 02:17:00,1720.0,Mental Health,"['Mental Health', 'Spirituality', 'Psychology']"
Zen and the Art of Motorcycle Maintenance (Dramatised),Robert M. Pirsig,3.1,54.0,615.0,"James Purefoy stars in this BBC Radio 4 full-cast dramatisation of Robert M. Pirsig's multi-million best-selling philosophical novel. One of the most important and influential books of the past half-century, Zen and the Art of Motorcycle Maintenance tells the iconic story of a father and son's motorcycle trip across America in the 1960s. Yet it also describes a personal and philosophical journey, asking questions along the way about how to live a meaningful life. ",0 days 01:40:00,763.0,Classic Literature,"['Classic Literature', 'Classic Fiction']"
Zen: The Art of Simple Living,Shunmyo Masuno,4.7,253.0,752.0,Penguin presents the audiobook edition of Zen by Shunmyo Masuno. ,0 days 02:37:00,114.0,Zen Buddhism,"['Zen Buddhism', 'Meditation', 'Stress Management']"
"Zero Day: John Puller, Book 1",David Baldacci,4.4,4921.0,323.0,"John Puller is a former war hero and now the best military investigator in the U.S. Army’s Criminal Investigative Division. He is a loner with few possessions by preference, but he has an indomitable spirit and an unstoppable determination for finding the truth. His father was the most decorated U.S. Marine in history, but now resides in a nursing home far from his battlefield glory. Puller’s older brother, also a military vet, is serving a life sentence in Leavenworth Penitentiary. Puller is called out to a remote, rural area far from any military outpost to investigate into the brutal murder of a family in their home. The dead husband was in the army and the wife worked for a Pentagon contractor. The local homicide detective, a woman with personal demons of her own, clashes with Puller over the investigation. What neither of them knows is what is waiting for them across the street from the murdered family’s home. It is something that will turn an already complicated case on its head. As Puller digs through deception after red herring, he realizes that absolutely nothing, and nobody, he’s so far seen in this small town, are what they seem. He is truly one man against an overwhelming force. ",0 days 13:07:00,1971.0,International Mystery & Crime,"['International Mystery & Crime', 'War & Military Fiction', 'Suspense']"
"Zero Limits: The Secret Hawaiian System for Wealth, Health, Peace, and More",Joe Vitale,4.4,886.0,703.0," If it seems like you work hard but never get anywhere, maybe the problem is something within you. Maybe the limitations holding you back come from inside you, not from the outside world. Zero Limits presents a proven way to break through those self-imposed limitations to achieve more in life than you ever dreamed.",0 days 06:21:00,1387.0,Small Businesses,"['Small Businesses', 'Business Motivation & Self-Improvement', 'Personal Finance']"
Zero to One,Peter Thiel,4.4,5306.0,615.0,"What valuable company is nobody building? The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them. It's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar. ",0 days 04:50:00,25.0,Business Management,"['Business Management', 'Entrepreneurship', 'Organisational Behaviour']"
Zindagi Aais Pais,Nikhil Sachan,4.1,198.0,501.0,"Zindagi Aais Pais, a short story collection, is Nikhil's second book after the remarkable success of his debut book Namak Swadanusar. In this book, Nikhil continues taking his listeners along for a journey that tries to solve the riddles of basic human existence - riddles of love, of childhood's lost and found, of relationships and of our day-to-day trials.  ",0 days 04:04:00,3026.0,Fiction Short Stories,"['Fiction Short Stories', 'Short Stories']"
